Nom;Référence;Famille;Date semis;Prix unitaire (hors remise);Lien;Référence+lien
Soucis des jardins;A0130S;Aromatiques et médicinales;mars - juin;3;https://www.semaille.com/fr/annuelles/270-soucis-des-jardins-5415166000545.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Perilla Pourpre;A0135S;Aromatiques et médicinales;mars - juin;3;https://www.semaille.com/fr/annuelles/271-perilla-pourpre-5415166000569.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Ail chinois;A1005S;Aromatiques et médicinales;avril-juillet;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/272-ail-chinois-5415166000583.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Angélique;A1007S;Aromatiques et médicinales;août-septembre ou février-mars;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/274-angelique-5415166000637.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Ail des ours;A1008S;Aromatiques et médicinales;août-septembre ou février-mars;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/1299-ail-des-ours-5415166024848.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Carvi;A1010S;Aromatiques et médicinales;avril-juin;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/275-carvi-5415166000651.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Ciboule;A1020S;Aromatiques et médicinales;avril-juillet;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/953-ciboule-5415166000699.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Ciboulette Commune;A1021S;Aromatiques et médicinales;avril-juillet;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/276-ciboulette-commune-5415166000712.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Cerfeuil Vivace;A1025S;Aromatiques et médicinales;août-septembre ou février-mars;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/955-cerfeuil-vivace-5415166000736.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Fenouil commun;A1030S;Aromatiques et médicinales;mars - juin;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/277-fenouil-commun-5415166000750.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Fenouil Bronze;A1031S;Aromatiques et médicinales;mars - juin;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/278-fenouil-bronze-5415166000774.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Fenouil sauvage;A1032S;Aromatiques et médicinales;mars - juin;3;;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Grande Camomille;A1035S;Aromatiques et médicinales;mars - juin;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/279-grande-camomille-5415166000811.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Hysope;A1040S;Aromatiques et médicinales;mai-juillet;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/280-hysope-5415166000842.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Lavande officinale;A1051S;Aromatiques et médicinales;mai-juillet;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/281-lavande-officinale-5415166000866.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Livèche;A1060S;Aromatiques et médicinales;avril-août;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/961-liveche-5415166000880.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Mélisse;A1070S;Aromatiques et médicinales;mai-juillet;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/282-melisse-5415166000903.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Menthe verte "type marocaine";A1071S;Aromatiques et médicinales;mai-juillet;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/283-menthe-verte-type-marocaine-5415166000927.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Menthe poivrée;A1072S;Aromatiques et médicinales;;3;;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Origan Commun;A1080S;Aromatiques et médicinales;mai-juillet;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/285-origan-commun-5415166000965.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Oseille Commune;A1090S;Aromatiques et médicinales;avril-juillet;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/286-oseille-commune-de-belleville-5415166000996.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
